2.100000000000000000e+02,1.190000000000000000e+02
2.030000000000000000e+02,4.310000000000000000e+02
1.840000000000000000e+02,7.990000000000000000e+02
6.540000000000000000e+02,8.040000000000000000e+02
1.148000000000000000e+03,7.990000000000000000e+02
1.124000000000000000e+03,4.060000000000000000e+02
1.119000000000000000e+03,1.180000000000000000e+02
6.640000000000000000e+02,1.140000000000000000e+02
6.480000000000000000e+02,4.510000000000000000e+02
8.680000000000000000e+02,2.750000000000000000e+02
